OBJECTID,ACRES,FIRE_ID,FIRE_NAME,YEAR,STARTMONTH,STARTDAY,SHAPE_Length,SHAPE_Area,FIRE_TYPE
1,1520,AK5674215793820060522,MESHIK RIVER,2006,5,22,26430.88478,20399906.35,2
2,4482,AK5759815753720050529,PILOT POINT,2005,5,29,45516.68117,62988382.97,2
3,3419,AK5761615232120150828,TWIN CREEKS,2015,8,28,78088.82515,48064008.41,2
4,5335,AK5884115754320150622,COPENHAGEN CREEK,2015,6,22,60614.97438,80372063.58,2
5,9684,AK5884415640120150621,PAULS CREEK,2015,6,21,95614.83278,146018425.8,2
6,3208,AK5890415740520150704,COPENHAGEN,2015,7,4,61727.17067,48542788.17,2
7,15244,AK5899315855220121102,SNAKE RIVER,2012,11,2,100627.8584,230897832.3,2
8,1526,AK5903315365920030428,KAMISHAK BAY,2003,4,28,54254.14751,23257709.66,2
9,1004,AK5905715603519900719,ALAGNAK,1990,7,19,24203.70522,15320186.39,2
10,11888,AK5919116014719910630,TWIN,1991,6,30,91880.63512,182818195.3,2
11,4415,AK6098515498920130728,WHITEFISH LAKE,2013,7,28,46400.151,75666921.8,2
12,3211,AK6102315407620050616,STONY,2005,6,16,50133.93332,55199655.65,2
13,16077,AK6104215418920130618,KRISTIN CREEK,2013,6,18,168127.7832,276828158.4,2
14,16920,AK5925816024020150622,GECHIAK LAKE,2015,6,22,128921.1771,261640438.2,2
15,2234,AK5955415836020150711,LITTLE KOKWOK,2015,7,11,30505.06528,35121144.92,2
16,1924,AK5960815825420150621,KOKWOK RIVER,2015,6,21,42225.5914,30326508.64,2
17,5697,AK5975315141520050429,TRACY AVE,2005,4,29,70195.60871,90566986.88,2
18,5295,AK5978615491320030523,ILIAMNA,2003,5,23,52466.42505,84341402.15,2
19,2497,AK6000115759420130728,NUYAKUK RIVER,2013,7,28,35462.07798,40276367,2
20,46686,AK6002415119720070619,CARIBOU HILLS,2007,6,19,280893.1912,754280425,2
21,2689,AK6011915081019940830,WINDY POINT,1994,8,30,55075.8025,43694265,2
22,5230,AK6012815061920040814,GLACIER CREEK,2004,8,14,163499.845,85040422.13,2
23,9085,AK6015015550020130619,NIKUBUMA LAKE,2013,6,19,131487.9974,147834796.7,2
24,25577,AK6015115098020050711,FOX CREEK 3,2005,7,11,157014.7841,416430868.5,3
25,1617,AK6025715983220150620,LITTLE SWIFT CREEK,2015,6,20,32138.68965,26520234,2
26,1986,AK6027615391520130627,CURRANT CREEK,2013,6,27,53973.92919,32630119.06,2
27,2419,AK6030315782720150623,KING SALMON RIVER 1,2015,6,23,44727.70066,39754490.82,2
28,14474,AK6037615081420090630,SHANTA CREEK,2009,6,30,202723.2473,238620975.9,3
29,1986,AK6038615043820070729,SWAN LAKE,2007,7,29,37626.0141,32800320.01,0
30,1067,AK6040215016520050706,IRISH CHANNEL,2005,7,6,34201.35023,17626498.1,3
31,3319,AK6041514945920010625,KENAI LAKE,2001,6,25,54356.00203,54907058.21,2
32,8769,AK6041515002719910519,POTHOLE,1991,5,19,161133.128,145074328,2
33,10124,AK6041715053220050626,KING COUNTY CREEK,2005,6,26,84042.60703,167522609.6,2
34,5712,AK6042816107220100531,HAWK RIVER,2010,5,31,50061.75387,94574619.27,0
35,193799,AK6043915096220140520,FUNNY RIVER,2014,5,20,480484.8737,3191913280,2
36,7367,AK6051015063620150615,CARD STREET,2015,6,15,141823.7532,122464278.1,2
37,1435,AK6057715534020160716,CHILIKADROTNA RIVER,2016,7,16,38811.31798,23991645.74,2
38,4628,AK6070715747820150622,CHICHITNOK RIVER,2015,6,22,113246.1181,77849823.12,2
39,1002,AK6071715870020150624,GEMUK RIVER,2015,6,24,35604.75548,16893168.62,2
40,5470,AK6077715779519890703,SHOTGUN DR.,1989,7,3,92730.26271,92552517.79,2
41,23912,AK6078416129320150624,KWETHLUK RIVER 2,2015,6,24,176919.2533,404816653.7,2
42,39019,AK6089416075820150620,FOG RIVER,2015,6,20,260193.0902,666387379.2,2
43,1986,AK6093415398520150622,OLD VILLAGE,2015,6,22,47333.09961,33969057.24,2
44,3111,AK6094416033020050803,OTTER CREEK,2005,8,3,78118.56572,53183422.55,2
45,8265,AK6095015630120160714,HOOK CREEK,2016,7,14,89481.10326,141220641.3,2
46,1138,AK6159015666120150621,BASKET CREEK #2,2015,6,21,31072.67786,20262654.48,2
47,2248,AK6162315989220090617,WINTER TRAIL,2009,6,17,60880.72863,40130357.71,2
48,4903,AK6164015534020130730,GAGARYAH 2,2013,7,30,102322.4293,87651739.86,2
49,2982,AK6164015926820150623,MISSION CREEK,2015,6,23,66947.83882,53263537.36,2
50,3892,AK6165315758520090525,OSKAWALIK,2009,5,25,85407.93727,69615032.74,2
51,57411,AK6165415966120150623,NORTH ANIAK,2015,6,23,295094.5025,1026486343,2
52,1217,AK6166715940620160714,OWHAT RIVER 2,2016,7,14,24344.7278,21817929.67,2
53,82041,AK6169316092520050802,TALBIKSOK,2005,8,2,434902.789,1467113105,2
54,19547,AK6169715522120090703,GAGARYAH 2,2009,7,3,272800.11,350516648.4,2
55,4579,AK6173215553319940614,GAGARYAH 3,1994,6,14,60123.9199,82311686.74,2
56,1151,AK6175916306020160715,PITMIK RIVER,2016,7,15,30955.80362,20711678.84,2
57,1046,AK6177615063720020716,THURSDAY CREEK,2002,7,16,32314.71969,18856134.21,2
58,40922,AK6180015953320150624,OWHAT RIVER,2015,6,24,279657.2101,740519202,2
59,51242,AK6180515536719900702,ROUND,1990,7,2,326802.5832,924522816.5,2
60,2267,AK6105016359820160602,AROPUK LAKE,2016,6,2,58652.85902,38960925.37,2
61,1380,AK6105916133420160714,GWEEK RIVER,2016,7,14,38509.65891,23768611.98,2
62,51940,AK6108315491720150601,CAN CREEK,2015,6,1,458586.4274,894445539.2,2
63,1669,AK6109915112920140519,TYONEK,2014,5,19,36151.37163,28818906.97,2
64,15890,AK6112116317120150623,PUK PALIK LAKE,2015,6,23,235520.3829,274754243.5,2
65,4024,AK6117616272720060707,TAKSLESLUK NORTH,2006,7,7,91089.41324,69815795.49,2
66,7833,AK6117915918520160715,TIMBER CREEK,2016,7,15,74164.23162,135707474.6,2
67,9309,AK6118715463620150624,ROCK CREEK,2015,6,24,155122.2085,161462829.3,2
68,26393,AK6120516033620150601,BOGUS CREEK,2015,6,1,178830.1301,458077545.5,2
69,8459,AK6122415515419910630,STONEY,1991,6,30,102825.8879,147197722.9,2
70,2896,AK6122715729519910703,KULUKBUK,1991,7,3,56697.75204,50397779.94,2
71,11313,AK6123115454019900703,ROCK CREEK,1990,7,3,121546.5808,196954878.6,2
72,24635,AK6124915895920130530,DOESTOCK CREEK,2013,5,30,162341.6206,429010728.9,2
73,56374,AK6126114312320090702,CHAKINA,2009,7,2,320468.5123,983280093,2
74,4528,AK6126916028820160714,BOGUS CREEK,2016,7,14,124606.7216,79082967.45,2
75,1333,AK6127415747820150711,CHUILNUK RIVER,2015,7,11,28016.55212,23261789.21,2
76,22827,AK6129414325120160716,STEAMBOAT CREEK,2016,7,16,286037.0569,397942114.6,2
77,3689,AK6130215976320080706,DISCOVERY SOUTH,2008,7,6,40846.3233,64517388.29,3
